title,price,rating,review_count,image_url,product_url,category
"Tripp Lite HDMI Extension Over HDBaseT 3.0 Cat6a Cable, Full Transmitter & Receiver Extension Kit, Extend HDMI Up to 328ft / 100 Meters, 4K@60Hz, TAA Compliant, 1-Year Warranty (BHDBT3-TRX2)","2,56,008.",,,https://m.media-amazon.com/images/I/81u-XlHd4dL._SL1500_.jpg,https://www.amazon.in/Tripp-Lite-Extension-Transmitter-BHDBT3-TRX2/dp/B0D1H93G8G,Price: High to Low
AudioQuest Thunderbird 48 3.0m 8K-10K 48Gbps HDMI Cable (9.8ft)(Silver),"2,46,011.",5.0,4 ratings,https://m.media-amazon.com/images/I/61uE-fwMtdL._SL1500_.jpg,https://www.amazon.in/AudioQuest-Thunderbird-8K-10K-48Gbps-Cable/dp/B08JGNYGFF,Price: High to Low
AudioQuest Thunderbird 48 2.25m 8K-10K 48Gbps HDMI Cable (7.4ft),"1,169.",5.0,4 ratings,https://m.media-amazon.com/images/I/71ovEl0FIFL._SL1500_.jpg,https://www.amazon.in/AudioQuest-Thunderbird-2-25m-8K-10K-48Gbps/dp/B08JFXSSM8,Price: High to Low
AudioQuest Thunderbird 48 1.5m 8K-10K 48Gbps HDMI Cable (5.0ft)(Silver),"1,75,496.",5.0,3 ratings,https://m.media-amazon.com/images/I/71ovEl0FIFL._SL1500_.jpg,https://www.amazon.in/AudioQuest-Thunderbird-8K-10K-48Gbps-Cable/dp/B08JG6V6K9,Price: High to Low
AudioQuest Vodka 48 3.0m 8K-10K 48Gbps HDMI Cable (9.8ft),"1,33,001.",5.0,16 ratings,https://m.media-amazon.com/images/I/61W6O+E+bDL._SL1500_.jpg,https://www.amazon.in/AudioQuest-Vodka-8K-10K-48Gbps-Cable/dp/B08JFH56D8,Price: High to Low
AudioQuest Thunderbird 48 0.75m 8K-10K 48Gbps HDMI Cable (2.5ft),"1,27,446.",5.0,4 ratings,https://m.media-amazon.com/images/I/61bfc-YI2BL._SL1000_.jpg,https://www.amazon.in/AudioQuest-Thunderbird-0-75m-8K-10K-48Gbps/dp/B08L5M2ML7,Price: High to Low
AudioQuest Vodka 48 2.25m 8K-10K 48Gbps HDMI Cable (7.4ft),"1,15,301.",5.0,16 ratings,https://m.media-amazon.com/images/I/71glrGdr8LL._SL1500_.jpg,https://www.amazon.in/AudioQuest-Vodka-2-25m-8K-10K-48Gbps/dp/B08JFNLN9B,Price: High to Low
WIREWORLD Silver Sphere HDMI Audio/Video 8K/48Gbps/HDR Cable (2.0 Meters),"1,14,210.",,,https://m.media-amazon.com/images/I/51VNVANLEtL._SL1000_.jpg,https://www.amazon.in/WIREWORLD-Silver-Sphere-48Gbps-Cable/dp/B08DVW5MYP,Price: High to Low
"High-Speed HDMI 2.0 Fiber Active Optical Cable (AOC) - 4K X 2K HDR @ 60 Hz, 4: M/Black, 100 M",153.,,,https://m.media-amazon.com/images/I/71slRGksrYL._SL1500_.jpg,https://www.amazon.in/High-Speed-Fiber-Active-Optical-Cable/dp/B07QM9HWB1,Price: High to Low
"Shashwani Hdmi to Displayport Cable, Display Port to Hdmi HD Resolution for Data Comparison'",,,,https://m.media-amazon.com/images/I/21apt50-pXL.jpg,https://www.amazon.in/Shashwani-Displayport-Display-Resolution-Comparison/dp/B0D93NJJZ7,Price: High to Low
