title,price,rating,review_count,image_url,product_url,category
"Four Legged Raincoat (Medium, Blue)","2,000.",3.1,7 ratings,https://m.media-amazon.com/images/I/61MZpzvM7xL._SL1200_.jpg,https://www.amazon.in/Four-Legged-RainCoat-medium-blue/dp/B072TK4Q3Y,Price: High to Low
"ZEEL Rain Coat for Men Waterproof for Bike Riders with Adjustable Hood along with inner pockets,Waterproof Double Layered Rainwear Suit with Polyester Jacket,Pants and Carrying Pouch,ZT5","1,999",3.7,"2,036 ratings",https://m.media-amazon.com/images/I/516n50yC6UL._SL1500_.jpg,https://www.amazon.in/ZEEL-Waterproof-Resistant-Polyester-Adjustable/dp/B0922HPMJ5,Price: High to Low
"ZEEL Rain Coat for Women Waterproof with Adjustable Hood, Rainwear Suit with Polyester Jacket and Pants for Ladies, AZ11 Violet M","1,999",3.6,14 ratings,https://m.media-amazon.com/images/I/41Gm+58tpQL._SX522_.jpg,https://www.amazon.in/Waterproof-Adjustable-Rainwear-Polyester-Jacket/dp/B0D4ZD6KBY,Price: High to Low
HACER Reusable 100% Air & Waterproof Unisex Raincoat Imported Seam Sealed Snow Suit Windcheater Rain Jacket Transparent Face Shield & Detachable Hood for Bikers Hiking Traveling,"1,999",4.1,9 ratings,https://m.media-amazon.com/images/I/61X9YLFRZqL._SL1500_.jpg,https://www.amazon.in/HACER-Reusable-Waterproof-Raincoat-Size-XXL/dp/B0C58BWWQY,Price: High to Low
"Unisex Disposable Rain Card | Smallest Pocket Size Waterproof Emergency Raincoat | Lightweight Pocket Rainwear for Men, Women, Travel, Biking, Hiking & Outdoor Use, Pack of 24","1,999",,,https://m.media-amazon.com/images/I/61J7018BU+L._SL1200_.jpg,https://www.amazon.in/Disposable-Smallest-Waterproof-Emergency-Lightweight/dp/B0F73SVP1V,Price: High to Low
"Unisex Disposable Rain Card | Smallest Pocket Size Waterproof Emergency Raincoat | Lightweight Pocket Rainwear for Men, Women, Travel, Biking, Hiking & Outdoor Use 70 pc","1,999",,,https://m.media-amazon.com/images/I/61J7018BU+L._SL1200_.jpg,https://www.amazon.in/Disposable-Smallest-Waterproof-Emergency-Lightweight/dp/B0F6LQ81W1,Price: High to Low
"The Clownfish by STRAUSS Road Rider Men's Waterproof Raincoat Polyester Double Coating Reversible Rain Suit with Hood & Inner Mobile Pocket. Set of Top &Bottom. Printed Pouch (Navy Blue, X-Large)","1,999.",,,https://m.media-amazon.com/images/I/61axTg-SKkL._SL1500_.jpg,https://www.amazon.in/Clownfish-STRAUSS-Waterproof-Polyester-Reversible/dp/B0D5YPGRNZ,Price: High to Low
Black Raincoat For Summer,"1,999",,,https://m.media-amazon.com/images/I/515XBsUb+sL._SL1080_.jpg,https://www.amazon.in/Generic-Black-Raincoat-For-Summer/dp/B0CVF1243Z,Price: High to Low
Versalis Self Design Men & Women Raincoat-100,"1,999",,,https://m.media-amazon.com/images/I/51z+wdA5tUL._SL1500_.jpg,https://www.amazon.in/Versalis-Self-Design-Women-Raincoat-100/dp/B0C8YWBP5X,Price: High to Low
Versalis Self Design Men & Women Raincoat-103,"1,999",,,https://m.media-amazon.com/images/I/51Nb32MHIJL._SL1500_.jpg,https://www.amazon.in/Versalis-Self-Design-Women-Raincoat-103/dp/B0C8YTR4H2,Price: High to Low
"CLUB SEVENTY TWO Durable Rain Suit for Men and Women - Waterproof Rain Coat and Gear for Climbing, Cycling, Farming, Hiking - Protective Rainwear","1,999",,,https://m.media-amazon.com/images/I/41gsTjRnvhL._SY500_.jpg,https://www.amazon.in/CLUB-SEVENTY-TWO-Durable-Women/dp/B0C2MLYSSH,Price: High to Low
"CLUB SEVENTY TWO Ultra-Lite Rain Suit for Men Women Waterproof Protective Rain Coat (Nylon, 2xl)","1,999",,,https://m.media-amazon.com/images/I/41NwVe26XQL._SY500_.jpg,https://www.amazon.in/CLUB-SEVENTY-TWO-Ultra-Lite-Waterproof/dp/B0BMGKMYBP,Price: High to Low
BOXO Vehicle Raincoat One-piece Raincoat Riding Motorcycle Rain Poncho PVC Raincoat For Adults,"1,997",,,https://m.media-amazon.com/images/I/717TB72iTLL._SL1181_.jpg,https://www.amazon.in/BOXO-Raincoat-Unisex-Double-Waterproof/dp/B0CCNVVRH2,Price: High to Low
Robustt Unisex Raincoat with Hood - Dark Grey (Pack of 5) | Waterproof Rain Poncho | EVA Material | Reusable | Lightweight | Fashionable | Universal Size | Raincoat for Men and Women,"1,995.",3.6,37 ratings,https://m.media-amazon.com/images/I/71eBBjesoqL._SL1500_.jpg,https://www.amazon.in/Robustt-Unisex-Raincoat-Hood-Lightweight/dp/B0D8PXSSTS,Price: High to Low
MERISHOPP® Hoodie Soft woman Jacket Waterproof Rain Coat Outdoor Outwear yellow XXXL|Rain Coat|Waterproof Rain Jacket|Men's Rain Coat|Women's Rain Coat|Kids' Rain Coat|Lightweight Rain Jacket,"1,994",,,https://m.media-amazon.com/images/I/51NoBu55C6L._SL1024_.jpg,https://www.amazon.in/MERISHOPP%C2%AE-Waterproof-Outdoor-Outwear-Lightweight/dp/B0D6N8ZFD2,Price: High to Low
Verbier Unisex Double Layer Outdoor Waterproof Rain Coat Poncho Bike/Motorcycle/Scooter Cycling Poncho Waterproof Cover Hooded Raincoat for Riding Pack of 1,"1,991",599.00,,https://m.media-amazon.com/images/I/51isNfbzpwL._SX569_.jpg,https://www.amazon.in/Verbier-Outdoor-Waterproof-Motorcycle-Raincoat/dp/B0DC66D43L,Price: High to Low
Romano nx Raincoat 100% Waterproof 3 Years Warranty for Men Reversible Double Layer Hooded Bike Rain Jacket Suit Inner Mobile Pocket with Storage Bag,"1,990",3.8,12 ratings,https://m.media-amazon.com/images/I/611Hx68IxvL._SL1080_.jpg,https://www.amazon.in/Romano-Raincoat-Waterproof-Reversible-SI_Men_Rainsuit_navyblue_5XL/dp/B0D6C2DT6J,Price: High to Low
Romano nx Mens Raincoat 100% Waterproof | 3 Years Warranty | Double Layer Hooded Water Resistant Rain Jacket | Pant and Carrying Pouch,"1,990",3.3,322 ratings,https://m.media-amazon.com/images/I/61oyH-Y2jlL._SL1080_.jpg,https://www.amazon.in/Romano-Raincoat-Waterproof-Resistant-rnxii_Men_Rainsuit_champnavy_5XL/dp/B0B3S72WC8,Price: High to Low
THE STYLE SUTRA® Outdoor 3in1 Raincoat Poncho Backpack Rain Cover Tent Mat Waterproof Blue | 1 Piece Raincoat,"1,990.",,,https://m.media-amazon.com/images/I/51Odl3t6UPL._SL1024_.jpg,https://www.amazon.in/STYLE-Outdoor-Raincoat-Backpack-Waterproof/dp/B0DHCQ3YJ1,Price: High to Low
"Rain Coats, Rainwear Windproof Waterproof for Rainy Days for Unisex Adults for Fishing for Camping(Pink)","1,990",,,https://m.media-amazon.com/images/I/512V9LSwFwL._SL1500_.jpg,https://www.amazon.in/Rainwear-Windproof-Waterproof-Fishing-Camping/dp/B09NW47H8B,Price: High to Low
"Rain Coats, Hooded Raincoat Portable with Hood Sleeves for Fishing for Camping for Rainy Days for Unisex Adults(Green)","1,990",,,https://m.media-amazon.com/images/I/415Uer8BUzL._SL1500_.jpg,https://www.amazon.in/Raincoat-Portable-Sleeves-Fishing-Camping/dp/B09LRN96HL,Price: High to Low
"Ubervia® Rain Coats, Raincoat Waterproof Hooded for Fishing for Rainy Days for Camping(Blue)","1,989",,,https://m.media-amazon.com/images/I/51nU7xM0ZqL._SL1500_.jpg,https://www.amazon.in/Ubervia%C2%AE-Raincoat-Waterproof-Fishing-Camping/dp/B0CWZXSZ4G,Price: High to Low
MERISHOPP® Cute Raincoat Children Cartoon Rain Coat Kids Rainwear Waterproof pink L|Rain Coat|Waterproof Rain Jacket|Men's Rain Coat|Women's Rain Coat|Kids' Rain Coat|Lightweight Rain Jacket,"1,988",,,https://m.media-amazon.com/images/I/51K+o0NdspL._SL1024_.jpg,https://www.amazon.in/MERISHOPP%C2%AE-Raincoat-Children-Waterproof-Lightweight/dp/B0D6N6CD3M,Price: High to Low
LICHTS Outdoor 3in1 Raincoat Poncho Backpack Rain Cover Tent Mat Waterproof Blue,"1,972.",,,https://m.media-amazon.com/images/I/51Odl3t6UPL._SL1024_.jpg,https://www.amazon.in/LICHTS-Outdoor-Raincoat-Backpack-Waterproof/dp/B0CLVJ8QMC,Price: High to Low
